deg,Nan_last,Max_last,Nan_full,Max_full
0.5,0.049494,0.322608,0.404525,0.424918
1,0.0458286,0.317714,0.510599,0.546126
1.5,0.0432086,0.313627,0.592149,0.610767
2,0.040645,0.309806,0.573596,0.595255
2.5,0.0367546,0.30416,0.531578,0.552688
3,0.0356242,0.301852,0.510572,0.530681
3.5,0.0312917,0.295174,0.483031,0.50014
4,0.0306091,0.293284,0.465477,0.481593
4.5,0.025861,0.286377,0.438809,0.452687
5,0.0253934,0.283896,0.418831,0.432488
5.5,0.0213201,0.277856,0.394986,0.406231
6,0.0199293,0.274043,0.373547,0.383596
6.5,0.0168068,0.269654,0.350929,0.360411
7,0.0142357,0.264072,0.324708,0.333426
7.5,0.012846,0.26126,0.302935,0.310469
8,0.00935502,0.254354,0.27319,0.280028
8.5,0.00872784,0.252101,0.252286,0.25738
9,0.00466416,0.245467,0.220999,0.22537
9.5,0.00469768,0.24294,0.198975,0.201608
10,0.000973014,0.236453,0.168785,0.170915
10.5,0.000267699,0.233354,0.144885,0.145447
11,-0.00214167,0.228059,0.118382,0.11842
11.5,-0.00368619,0.223157,0.093198,0.0918012
12,-0.00532962,0.219591,0.0724927,0.0704422
12.5,-0.00761812,0.213697,0.0467248,0.0446572
13,-0.00825158,0.211318,0.0296568,0.0260516
13.5,-0.0107781,0.204597,0.00568897,0.00146743
14,-0.0105022,0.202246,-0.0100675,-0.0150035
14.5,-0.0134784,0.195911,-0.0319414,-0.0368034
15,-0.0131566,0.193459,-0.046964,-0.0537673
15.5,-0.0153058,0.187652,-0.0661854,-0.0728794
16,-0.0157582,0.183855,-0.082996,-0.0895884
16.5,-0.0170529,0.180174,-0.0974411,-0.105077
17,-0.0178985,0.174762,-0.115396,-0.122637
17.5,-0.0177105,0.172273,-0.126318,-0.133949
18,-0.0196487,0.166104,-0.144085,-0.15212
18.5,-0.0187186,0.164354,-0.153142,-0.161108
19,-0.0207599,0.158049,-0.169751,-0.178352
19.5,-0.0195321,0.156173,-0.179218,-0.187636
20,-0.0212842,0.150769,-0.193216,-0.201865
20.5,-0.0205402,0.14784,-0.203857,-0.211902
21,-0.0213931,0.143729,-0.214247,-0.222389
21.5,-0.0212594,0.139453,-0.225664,-0.234279
22,-0.0203144,0.136901,-0.23307,-0.240869
22.5,-0.0215805,0.131263,-0.244552,-0.253728
23,-0.0191578,0.130256,-0.249657,-0.256828
23.5,-0.0210613,0.124313,-0.26089,-0.268722
24,-0.0196685,0.123371,-0.26461,-0.271282
24.5,-0.0199404,0.117682,-0.274503,-0.281321
25,-0.0180133,0.115786,-0.278653,-0.285767
25.5,-0.0180485,0.111878,-0.285131,-0.291449
26,-0.0172698,0.108599,-0.291409,-0.296705
26.5,-0.0159096,0.106325,-0.294466,-0.299996
27,-0.015744,0.101866,-0.301364,-0.306569
27.5,-0.0131865,0.100851,-0.302403,-0.307163
28,-0.013745,0.0954879,-0.309498,-0.313759
28.5,-0.0107481,0.0953331,-0.30902,-0.313425
29,-0.0108833,0.0904574,-0.314569,-0.318974
29.5,-0.00838094,0.0896032,-0.314148,-0.319278
30,-0.00749979,0.085706,-0.317364,-0.322808
30.5,-0.00569863,0.0836822,-0.318505,-0.324078
31,-0.00376934,0.0817013,-0.319774,-0.325813
31.5,-0.00225574,0.0783915,-0.32151,-0.328114
32,0.000642823,0.0778512,-0.320325,-0.328057
32.5,0.0013859,0.0735778,-0.322703,-0.330192
33,0.00502835,0.0740815,-0.320138,-0.329612
33.5,0.00532827,0.0696288,-0.322915,-0.331544
34,0.0089254,0.0699743,-0.319455,-0.329943
34.5,0.0103111,0.0665676,-0.32131,-0.33148
35,0.0131969,0.0660068,-0.319185,-0.329695
35.5,0.0155501,0.0638626,-0.318145,-0.329831
36,0.0177897,0.062208,-0.317352,-0.327777
36.5,0.0209932,0.0613446,-0.315137,-0.326313
37,0.0226105,0.0590432,-0.314719,-0.325687
37.5,0.0269685,0.0596938,-0.311036,-0.320838
38,0.0281289,0.05659,-0.311352,-0.320049
38.5,0.0324266,0.0573359,-0.306802,-0.315041
39,0.0345393,0.0551126,-0.306608,-0.313471
39.5,0.038254,0.0552314,-0.302133,-0.30795
40,0.0408843,0.053854,-0.300132,-0.304664
40.5,0.0436147,0.0533444,-0.295699,-0.299587
41,0.0477599,0.0529894,-0.291447,-0.294101
41.5,0.0497751,0.052015,-0.28717,-0.289586
42,0.0547554,0.0530483,-0.281109,-0.281528
42.5,0.0564411,0.0510609,-0.276984,-0.277649
43,0.0614643,0.0531815,-0.268507,-0.267674
43.5,0.0638279,0.0512509,-0.263813,-0.262982
44,0.0679851,0.0529299,-0.254763,-0.253707
44.5,0.0712646,0.0517618,-0.248648,-0.246356
45,0.0747662,0.0527646,-0.240703,-0.237856
45.5,0.0789107,0.0534189,-0.233035,-0.228095
46,0.0818939,0.0531646,-0.22521,-0.220607
46.5,0.0865833,0.0550513,-0.215214,-0.20851
47,0.0893251,0.0540501,-0.207538,-0.201614
47.5,0.0948448,0.0568217,-0.196214,-0.188242
48,0.0971845,0.0558803,-0.189812,-0.181009
48.5,0.102243,0.0587869,-0.177879,-0.167463
49,0.105745,0.0583563,-0.169707,-0.15925
49.5,0.109927,0.0602655,-0.159162,-0.146572
50,0.114339,0.0615873,-0.149737,-0.135242
50.5,0.118222,0.0623464,-0.139467,-0.125556
51,0.123313,0.0647613,-0.127801,-0.111692
51.5,0.126211,0.0648411,-0.118732,-0.103366
52,0.132307,0.068672,-0.106232,-0.0884904
52.5,0.135018,0.0683183,-0.0977136,-0.0801007
53,0.140784,0.071668,-0.0846107,-0.065067
53.5,0.144567,0.0723564,-0.0758484,-0.0560724
54,0.149781,0.0755311,-0.0638623,-0.0424426
54.5,0.154301,0.0769052,-0.0533687,-0.0318877
55,0.158535,0.0789232,-0.0428197,-0.0211893
55.5,0.16411,0.082246,-0.0310972,-0.007432
56,0.167846,0.0832176,-0.0217613,0.00131154
56.5,0.173816,0.0875163,-0.00839148,0.0155544
57,0.177592,0.0880928,-0.000207899,0.0239603
57.5,0.183516,0.0925743,0.0127394,0.0379927
58,0.18792,0.0934154,0.0219011,0.0466545
58.5,0.193523,0.0974747,0.0335877,0.0590705
59,0.198521,0.0998275,0.0433945,0.0698747
59.5,0.203242,0.102849,0.0540174,0.0799447
60,0.208731,0.106479,0.065723,0.0919803
60.5,0.213488,0.108451,0.0745845,0.100196
61,0.219847,0.113259,0.0863946,0.113061
61.5,0.224108,0.114704,0.0946653,0.121193
62,0.230416,0.119883,0.10666,0.133639
62.5,0.235138,0.121609,0.115053,0.14174
63,0.241227,0.126631,0.126538,0.153062
63.5,0.246435,0.129024,0.13579,0.162739
64,0.251825,0.133223,0.145428,0.172217
64.5,0.257733,0.13713,0.155962,0.1826
65,0.262865,0.1399,0.164672,0.190871
65.5,0.269098,0.145038,0.175631,0.202899
66,0.273931,0.147118,0.183406,0.209771
66.5,0.280758,0.153143,0.195264,0.221982
67,0.285627,0.154848,0.202954,0.229628
67.5,0.29184,0.160559,0.21378,0.240663
68,0.29727,0.16365,0.222617,0.249408
68.5,0.303096,0.168418,0.232064,0.259011
69,0.309274,0.172248,0.242023,0.269053
69.5,0.314183,0.176072,0.250503,0.27717
